ID,Name,Gender,DOB,Location,University,Salary,Company,Email
101,AAA,M,10-10-1994,Banglore,IISC,55000.5,Microsoft,AAA@gmail.com
102,BBB,F,20-09-1995,HYD,IIIT,76000.2,Amazon,BBB@hotmail.com
103,CCC,M,31-12-1992,Chennai,NIT,49200.5,Google,CCC@gmail.com
104,DDD,F,22-11-1990,Mumbai,VIT,54980.6,Apple,DDD@hotmail.com
105,EEE,M,19-05-1993,Chennai,IIT,60200.7,Microsoft,EEE@gmail.com
106,FFF,M,23-07-1994,HYD,IIIT,63100.8,Microsoft,FFF@gmail.com
107,GGG,F,10-10-1994,Mumbai,VIT,60200.7,Amazon,GGG@hotmail.com
108,HHH,M,10-10-1990,Banglore,NIT,89200.7,Apple,HHH@gmail.com
109,III,F,21-12-1994,HYD,IIIT,66980.8,Google,III@gmail.com
110,JJJ,M,22-11-1990,Chennai,NIT,59250.2,Amazon,JJJ@hotmail.com
111,KKK,M,10-10-1994,Banglore,IISC,76300.9,Microsoft,KKK@gmail.com
112,LLL,F,20-09-1995,Mumbai,NIT,67900.8,Apple,LLL@gmail.com
113,MMM,F,15-10-1994,,VIT,60200.7,Google,MMM@hotmail.com
114,NNN,F,29-11-1990,Banglore,IIIT,59200.5,Amazon,NNN@gmail.com
115,OOO,M,20-09-1995,Banglore,IISC,57120.5,Google,OOO@gmail.com
116,PPP,F,28-10-1994,Chennai,IIT,59050.5,Apple,PPP@gmail.com
117,QQQ,M,10-02-1991,Banglore,IISC,60200.7,Microsoft,QQQ@hotmail.com
118,RRR,F,10-11-1993,Mumbai,NIT,52900.5,Google,RRR@gmail.com
119,SSS,M,25-10-1992,,VIT,62900.5,Microsoft,SSS@gmail.com
120,TTT,M,29-09-1995,Chennai,IIIT,57230.5,Apple,TTT@hotmail.com
121,UUU,F,13-11-1990,Chennai,NIT,59250.2,Google,UUU@gmail.com
122,VVV,M,19-08-1993,Banglore,IISC,57120.5,Microsoft,VVV@gmail.com
123,WWW,F,14-09-1994,Mumbai,VIT,59050.5,Apple,WWW@hotmail.com
124,XXX,M,19-12-1991,HYD,IIT,60200.7,Microsoft,XXX@gmail.com
